Source,Target,Type,Id,Label,Weight,EdgeKind,Interval
pythias,apollon,Undirected,pythias|apollon,,1,co_occurrence,
pythias,orestes,Undirected,pythias|orestes,,1,co_occurrence,
pythias,klytaimestras_eidolon,Undirected,pythias|klytaimestras_eidolon,,1,co_occurrence,
pythias,choros,Undirected,pythias|choros,,1,co_occurrence,
apollon,orestes,Undirected,apollon|orestes,,3,co_occurrence,
apollon,klytaimestras_eidolon,Undirected,apollon|klytaimestras_eidolon,,1,co_occurrence,
apollon,choros,Undirected,apollon|choros,,3,co_occurrence,
apollon,athena,Undirected,apollon|athena,,1,co_occurrence,
orestes,klytaimestras_eidolon,Undirected,orestes|klytaimestras_eidolon,,1,co_occurrence,
orestes,choros,Undirected,orestes|choros,,4,co_occurrence,
orestes,athena,Undirected,orestes|athena,,2,co_occurrence,
klytaimestras_eidolon,choros,Undirected,klytaimestras_eidolon|choros,,1,co_occurrence,
choros,athena,Undirected,choros|athena,,5,co_occurrence,
orestes,pythias,Directed,orestes->pythias_pollution,,1,pollution,"<[1.0,400.0]>"
orestes,propompoi,Directed,orestes->propompoi_pollution,,1,pollution,"<[1.0,400.0]>"
orestes,choros,Directed,orestes->choros_pollution,,1,pollution,"<[401.0,1700.0]>"
klytaimestras_eidolon,choros,Directed,klytaimestras_eidolon->choros_pollution,,1,pollution,"<[401.0,1700.0]>"
