Source,Target,Type,Id,Label,Weight,EdgeType,Interval
oidipous,hiereus,Undirected,oidipous|hiereus,,1,co_occurrence,
oidipous,kreon,Undirected,oidipous|kreon,,4,co_occurrence,
oidipous,choros,Undirected,oidipous|choros,,9,co_occurrence,
oidipous,teiresias,Undirected,oidipous|teiresias,,1,co_occurrence,
oidipous,iokaste,Undirected,oidipous|iokaste,,4,co_occurrence,
oidipous,angelos,Undirected,oidipous|angelos,,2,co_occurrence,
oidipous,therapon,Undirected,oidipous|therapon,,1,co_occurrence,
oidipous,exangelos,Undirected,oidipous|exangelos,,1,co_occurrence,
hiereus,kreon,Undirected,hiereus|kreon,,1,co_occurrence,
kreon,choros,Undirected,kreon|choros,,3,co_occurrence,
kreon,iokaste,Undirected,kreon|iokaste,,2,co_occurrence,
choros,teiresias,Undirected,choros|teiresias,,1,co_occurrence,
choros,iokaste,Undirected,choros|iokaste,,4,co_occurrence,
choros,angelos,Undirected,choros|angelos,,2,co_occurrence,
choros,therapon,Undirected,choros|therapon,,1,co_occurrence,
choros,exangelos,Undirected,choros|exangelos,,1,co_occurrence,
iokaste,angelos,Undirected,iokaste|angelos,,1,co_occurrence,
angelos,therapon,Undirected,angelos|therapon,,1,co_occurrence,
oidipous,hiereus,Undirected,oidipous|hiereus_miasma,,1,pollution,"<[1.0,6.9]>"
oidipous,kreon,Undirected,oidipous|kreon_miasma,,1,pollution,"<[1.0,6.9]>"
oidipous,choros,Undirected,oidipous|choros_miasma,,1,pollution,"<[1.0,6.9]>"
oidipous,teiresias,Undirected,oidipous|teiresias_miasma,,1,pollution,"<[2.0,6.9]>"
oidipous,iokaste,Undirected,oidipous|iokaste_miasma,,1,pollution,"<[3.0,6.0]>"
oidipous,angelos,Undirected,oidipous|angelos_miasma,,1,pollution,"<[4.0,6.9]>"
oidipous,therapon,Undirected,oidipous|therapon_miasma,,1,pollution,"<[6.0,6.9]>"
oidipous,exangelos,Undirected,oidipous|exangelos_miasma,,1,pollution,"<[6.0,6.9]>"
