Id,Label,PollutionStatus
AGAMEMNON,AGAMEMNON,"<[1.0,18.0,not_polluted]; [19.0,84.0,majorly_polluted]>"
IPHIGENIA,IPHIGENIA,"<[1.0,18.0,not_polluted]; [19.0,84.0,majorly_polluted]>"
KLYTEMNESTRA,KLYTEMNESTRA,"<[1.0,18.0,not_polluted]; [19.0,37.0,minorly_polluted]; [38.0,84.0,majorly_polluted]>"
ORESTES,ORESTES,"<[1.0,21.0,not_polluted]>; <[22.0,37.0,minorly_polluted]; [38.0,62.0,minorly_polluted]; [63.0,84.0,majorly_polluted]>"
ELECTRA,ELECTRA,"<[1.0,37.0,not_polluted]; [38.0,62.0,minorly_polluted]; [63.0,84.0,majorly_polluted]>"
AEGISTHUS,AEGISTHUS,"<[1.0,42.0,not_polluted]; [43.0,58.0,minorly_polluted]; [59.0,84.0,majorly_polluted]>"
DOCTOR,DOCTOR,"<[1.0,65.0,not_polluted]; [66.0,84.0,majorly_polluted]>"
CILISSA,CILISSA,"<[1.0,65.0,minorly_polluted]; [66.0,84.0,majorly_polluted]>"
CALCHAS,CALCHAS,"<[1.0,18.0,minorly_polluted]; [19.0,84.0,minorly_polluted]>"
MENELAUS,MENELAUS,"<[1.0,18.0,minorly_polluted]; [19.0,84.0,minorly_polluted]>"
TALTHYBIUS,TALTHYBIUS,"<[1.0,18.0,minorly_polluted]; [19.0,84.0,minorly_polluted]>"
CASSANDRA,CASSANDRA,"<[1.0,17.0,not_polluted]; [18.0,38.0,majorly_polluted]>"
FURY,FURY,"<[66.0,84.0,majorly_polluted]>"
ATHENE,ATHENE,"<[68.0,84.0,not_polluted]>"
